attributeKey,description,label,type,valueType,innerType1,innerType2,LinkToOtherProfiles,tag1,tag2,tag3,tag4,UpdateFrequency
name.full,What is the customer's full name?,Name,declared,string,,,FALSE,attr/declared,,,,
likelyAccounts.gmail,What is the cusomter's likely gmail account?,Likely Gmail,inferred,string,,,FALSE,attr/inferred,,,,
total.storeVisits,How many times total has the customer visited any of our locations?,Total Visits,observed,number,,,FALSE,attr/observed,,,,
likely.visitsThisMonth,How many times is the customer likely to visit our locations this month?,Likely Visits,inferred,number,,,FALSE,attr/inferred,,,,
likely.toRetain,Are we likely to retain the customer?,Retention Chance,inferred,weight,,,FALSE,attr/inferred,,,,
isSubscribed.weeklyOffers,Is the customer subscribed to our weekly offers?,Weekly Offer Subscriber?,observed,boolean,,,FALSE,attr/observed,,,,
willSubscribe.premiumMembership,"Will the user subscribe to premium membership? If so, how likely?",Potential Premium Subscriber,inferred,boolean,,,FALSE,attr/inferred,,,,
date.lastVisit,When did the cusomter last visit any of our locations?,Last Visit,observed,datetime,,,FALSE,attr/observed,,,,
likelyDate.nextVisit,When will the customer most likely visit next?,Likely Next Visit,inferred,datetime,,,FALSE,attr/inferred,,,,
spendingExpectations.perVisit,What are the customers statistical spending trends?,Spent Per Visit,observed,statsummary,,,FALSE,attr/observed,,,,
frequentVisitor,How frequently does the customer visit our stores compared to other customers?,Frequent Visitor?,observed,percentile,,,FALSE,attr/observed,,,,
visits.occuredOn.weekend,How many of the customer's visits occur on the weekend?,Weekend Visitor,observed,percentage,,,FALSE,attr/observed,,,,
members.ofHousehold,Who are the members in this customers household?,Household Members,declared,list,cice/Customer,,TRUE,attr/declared,,,,
likeyCompanions.nextVisit,Who is likley to visit our locations with our customer during our customers next visit?,Likely Next Visit Companions,inferred,list,cice/Customer,,TRUE,attr/inferred,,,,
visits.last5,What were the customer's last five visits to any of our locations?,Last 5 Visits,observed,list,,,FALSE,attr/observed,,,,
locations.likelyToVisitNext,Which locations is the customer likely to visit next?,Likely Next Visit Location,inferred,list,,,FALSE,attr/inferred,,,,
totalOrders.perFlavor,How many orders has the customer had for each of the flavors?,Orders Per Flavor,observed,dimensional,cice/Flavor,number,FALSE,attr/observed,,,,
totalVisits.withCompanions,How many visits has this customer had with other customers?,Total Visits with Others,observed,dimensional,cice/Customer,number,TRUE,attr/observed,,,,
favoriteLocation,What is the customers favorite location?,Favorite Location,observed,entity-rel,,,FALSE,attr/observed,,,,
favoriteVisitCompanion,Who does the customer prefer visiting our locations with?,Favorite Companion,observed,profile-rel,,,FALSE,attr/observed,,,,
favoriteOrder,What is the customers favortie order?,Favorite Item,observed,entity,,,FALSE,attr/observed,,,,
